hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot
RC3334603619,Hero(CO),100BB,9c Ac,7s 3h Tc,8s,3d,Opp(UTG): folds; Opp(MP): folds; Hero: raises 2.0BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Hero: checks; ,4.4BB,Opp(BB): bets 1.6BB; Hero: calls 1.6BB; ,7.6BB,Opp(BB): bets 5.8BB; Hero: folds; ,7.6BB,-3.6BB,7.6BB
RC3334603565,Hero(CO),100BB,Qh 4c,,,,Opp(UTG): folds; Opp(MP): folds; Hero: folds; Opp(BTN): folds; Opp(SB): folds; ,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334603458,Hero(BB),100BB,6s 7s,Qh 9s Kd,,,Opp(UTG): raises 2.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 6.2BB; Opp(SB): folds; Hero: folds; Opp(UTG): calls 4.2BB; ,13.8BB,Opp(UTG): checks; Opp(BTN): bets 4.8BB; Opp(UTG): folds; ,13.8BB,,0BB,,0BB,-1.0BB,13.8BB
RC3334603430,Hero(BTN),100BB,3s Ts,Ad 3d 8s,3c,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): raises 3.0BB; Hero: folds; Opp(SB): calls 2.6BB; Opp(BB): calls 2.0BB; ,9.0BB,Opp(SB): checks; Opp(BB): checks; Opp(CO): checks; ,9.0BB,Opp(SB): bets 3.0BB; Opp(BB): folds; Opp(CO): folds; ,9.0BB,,0BB,0BB,9.0BB
RC3334603399,Hero(SB),100BB,9d Qs,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.4BB; Hero: folds; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB
RC3334603366,Hero(MP),100BB,Qs 5c,,,,Opp(UTG): folds; Hero: folds; Opp(CO): raises 2.0BB; Opp(BTN): raises 7.6BB; Opp(SB): folds; Opp(BB): folds; Opp(CO): folds; ,5.4BB,,0BB,,0BB,,0BB,0BB,5.4BB
RC3334603330,Hero(CO),100BB,3c 2s,,,,Opp(UTG): folds; Opp(MP): raises 2.2BB; Hero: folds; Opp(BTN): folds; Opp(SB): raises 11.0BB; Opp(BB): folds; Opp(MP): folds; ,5.8BB,,0BB,,0BB,,0BB,0BB,5.4BB
RC3334603292,Hero(CO),100BB,2h 7h,,,,Opp(UTG): folds; Opp(MP): raises 3.0BB; Hero: folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334603245,Hero(MP),100BB,2h Ks,,,,Opp(UTG): folds; Hero: folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; ,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334603213,Hero(MP),100BB,2h Ah,3s Jc 7s,,,Opp(UTG): folds; Hero: folds; Opp(CO): folds; Opp(BTN): raises 2.6BB; Opp(SB): folds; Opp(BB): calls 1.6BB; ,5.6BB,Opp(BB): checks; Opp(BTN): bets 2.8BB; Opp(BB): raises 11.2BB; Opp(BTN): folds; ,11.2BB,,0BB,,0BB,0BB,11.2BB
RC3334603179,Hero(UTG),100BB,Td 5d,,,,Hero: folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 3.4BB; Opp(SB): folds; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334603138,Hero(MP),100BB,4d As,,,,Opp(UTG): folds; Hero: folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): raises 2.6BB; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3334603034,Hero(BB),100BB,5s 7h,,,,Opp(UTG): raises 2.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero: folds; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB
RC3334603002,Hero(CO),100BB,6d 3c,,,,Opp(UTG): folds; Opp(MP): folds; Hero: folds; Opp(BTN): folds; Opp(SB): folds; ,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334602934,Hero(SB),100BB,7d 5c,,,,Opp(UTG): raises 3.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Hero: folds; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB
RC3334602902,Hero(BTN),100BB,Qd 7c,8s 5s 5d,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): raises 2.6BB; Hero: folds; Opp(SB): folds; Opp(BB): calls 1.6BB; ,5.6BB,Opp(BB): checks; Opp(CO): bets 2.0BB; Opp(BB): folds; ,5.6BB,,0BB,,0BB,0BB,5.6BB
