hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot
RC3353952636,Hero(BB),215BB,8s Tc,,,,,0.8BB,,0BB,,0BB,,0BB,0.4BB,0.8BB
RC3353952608,Hero(CO),215BB,3c Kd,Jc 6c As,,,Opp(SB): raises 3.0BB; Opp(BB): calls 2.0BB; ,6.4BB,Opp(SB): bets 2.0BB; ,6.4BB,,0BB,,0BB,0BB,6.0BB
RC3353952453,Hero(SB),214BB,Qc Td,Kh 7d 9s,,,Hero: calls 0.6BB; Opp(BB): checks; ,2.0BB,Hero: bets 1.0BB; ,2.0BB,,0BB,,0BB,1.0BB,2.0BB
RC3353952408,Hero(UTG),214BB,2c 3s,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3353952036,Hero(CO),222BB,Ah 8d,Kc 9h Ad,3c,,Hero: raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Hero: bets 1.6BB; Opp(BB): calls 1.6BB; ,7.6BB,Opp(BB): checks; Hero: bets 4.0BB; Opp(BB): raises 12.0BB; ,15.6BB,,0BB,-7.6BB,15.6BB
RC3353951747,Hero(MP),217BB,Ad As,Kh 6c 6d,4h,,Hero: raises 2.0BB; Opp(SB): calls 1.6BB; ,5.0BB,Opp(SB): checks; Hero: bets 2.0BB; Opp(SB): calls 2.0BB; ,9.0BB,Opp(SB): checks; Hero: bets 6.8BB; ,9.0BB,,0BB,4.3BB,9.0BB
RC3353951717,Hero(UTG),217BB,5c 4h,,,,Opp(MP): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3353951690,Hero(BTN),217BB,6d 4c,5s 2s Tc,5d,Ks,Opp(MP): raises 2.0BB; Opp(CO): calls 2.0BB; Opp(BB): calls 1.0BB; ,6.4BB,Opp(BB): checks; Opp(MP): bets 2.2BB; Opp(CO): calls 2.2BB; ,10.8BB,Opp(MP): bets 5.4BB; Opp(CO): calls 5.4BB; ,21.6BB,Opp(MP): checks; Opp(CO): checks; 1abad693: shows [As 7s] (Ace High Flush); a441be17: shows [8d 8c] (Pair of Eights and Pair of Fives); ,21.6BB,0BB,21.6BB
RC3353951552,Hero(BB),217BB,Ah 8d,,,,,0.8BB,,0BB,,0BB,,0BB,0.4BB,0.8BB
RC3353951524,Hero(SB),217BB,2d Js,,,,Opp(UTG): raises 2.0BB; Opp(MP): raises 7.0BB; ,5.4BB,,0BB,,0BB,,0BB,-0.4BB,5.4BB
RC3353951478,Hero(UTG),217BB,6s 6h,Td Qc 4s,,,Opp(CO): raises 2.0BB; Opp(BTN): raises 8.8BB; Opp(BB): calls 7.8BB; ,20.0BB,Opp(BB): checks; Opp(BTN): bets 10.0BB; ,20.0BB,,0BB,,0BB,0BB,20.0BB
RC3353951187,Hero(UTG),219BB,Tc Th,Jd Ks 5c,,,Hero: raises 2.0BB; Opp(MP): calls 2.0BB; Opp(BB): calls 1.0BB; ,6.4BB,Opp(BB): bets 4.4BB; ,6.4BB,,0BB,,0BB,-2.0BB,6.4BB
RC3353951125,Hero(BTN),219BB,4h 2s,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3353951090,Hero(UTG),219BB,As 2c,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3353951062,Hero(BB),220BB,5h Tc,,,,Opp(BTN): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB
RC3353951025,Hero(SB),221BB,5s 7d,,,,,0.8BB,,0BB,,0BB,,0BB,-0.4BB,0.8BB
RC3353950992,Hero(CO),221BB,7c Kc,5h Jc 6d,,,Opp(SB): calls 0.6BB; Opp(BB): checks; ,2.0BB,Opp(SB): bets 1.0BB; ,2.0BB,,0BB,,0BB,0BB,2.0BB
RC3353950963,Hero(MP),221BB,4d 3h,Qs 9d Ah,Jh,3s,Opp(UTG): raises 2.0BB; Opp(BTN): calls 2.0BB; ,5.4BB,Opp(UTG): checks; Opp(BTN): checks; ,5.4BB,Opp(UTG): bets 4.2BB; Opp(BTN): calls 4.2BB; ,13.8BB,Opp(UTG): bets 20.0BB; ,13.8BB,0BB,13.8BB
RC3353950909,Hero(BTN),221BB,Jh 2h,,,,Opp(SB): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3353950855,Hero(MP),221BB,5h As,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3353950831,Hero(SB),221BB,4d 7s,,,,Opp(CO): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB
RC3353950807,Hero(BB),222BB,8s 3h,,,,Opp(SB): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.0BB
RC3353950782,Hero(UTG),222BB,5c Kd,,,,Opp(SB): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3353950760,Hero(MP),222BB,7s 8d,,,,Opp(CO): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3353950735,Hero(MP),222BB,3c Th,,,,Opp(SB): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3353950616,Hero(BB),222BB,9h Ah,,,,,0.8BB,,0BB,,0BB,,0BB,0.4BB,0.8BB
RC3353950569,Hero(UTG),222BB,2d Qs,,,,Opp(BTN): raises 2.2BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3353950426,Hero(MP),220BB,9c 9h,,,,Hero: raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,1.2BB,2.4BB
RC3353950378,Hero(BTN),220BB,7c Kc,,,,Opp(UTG): raises 2.6BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3353950264,Hero(CO),219BB,Ac 3c,,,,Hero: raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,1.2BB,2.4BB
RC3353950151,Hero(SB),218BB,Ts Kh,7d 4c 3s,,,Hero: calls 0.6BB; Opp(BB): checks; ,2.0BB,Hero: bets 1.0BB; ,2.0BB,,0BB,,0BB,1.0BB,2.0BB
