Player,Stat,Count,Percentage,Total
Hero,Total Hands,5000,100%,5000
Hero,PFR,491,9.82%,5000
Hero,VPIP,958,19.16%,5000
Hero,ATS,258,5.16%,5000
Hero,SB Opens,26,3.12%,832
Hero,BB Opens,4,0.48%,832
Hero,UTG Opens,116,13.79%,841
Hero,MP Opens,113,13.63%,829
Hero,CO Opens,127,15.23%,834
Hero,BTN Opens,105,12.62%,832
Hero,BB Fold,489,58.77%,832
Hero,SB Fold,675,81.13%,832
Hero,BB Call SB Raise,19,20.65%,92
Hero,BB Call UTG Raise,35,23.18%,151
Hero,BB Call MP Raise,31,20.95%,148
Hero,BB Call CO Raise,26,23.64%,110
Hero,BB Call BTN Raise,49,29.88%,164
Hero,3B(all),83,2.43%,3416
Hero,3B(oop),37,1.84%,2014
Hero,3B(ip),46,3.28%,1402
Hero,Got 3B(all),119,24.24%,491
Hero,Got 3B(oop),65,13.24%,491
Hero,Got 3B(ip),54,11.00%,491
Hero,Fold to 3B(all),73,61.34%,119
Hero,Fold to 3B(oop),39,60.00%,65
Hero,Fold to 3B(ip),34,62.96%,54
Hero,Call 3B(all),43,36.13%,119
Hero,Call 3B(oop),25,38.46%,65
Hero,Call 3B(ip),18,33.33%,54
Hero,4B,3,2.52%,119
Hero,Got 4B,7,8.43%,83
Hero,Fold to 4B,4,57.14%,7
Hero,Call 4B,1,14.29%,7
Hero,5B,2,28.57%,7
Hero,Got 5B,0,0.00%,3
Hero,Fold to 5B,0,0.00%,0
Hero,Call 5B,0,0.00%,0
