Player,Stat,Count,Percentage,Total,Player,Stat,Count,Percentage,Total
Hero,Total Hands,5000,100%,5000,Opp,Total Hands,5000,100%,5000
Hero,PFR,491,9.82%,5000,Opp,PFR,3416,68.32%,5000
Hero,SB Opens,26,4.06%,640,Opp,SB Opens,517,52.01%,994
Hero,BB Opens,4,0.58%,690,Opp,BB Opens,20,1.79%,1116
Hero,UTG Opens,116,16.71%,694,Opp,UTG Opens,779,96.53%,807
Hero,MP Opens,113,16.57%,682,Opp,MP Opens,684,85.71%,798
Hero,CO Opens,127,18.68%,680,Opp,CO Opens,656,75.32%,871
Hero,BTN Opens,105,16.06%,654,Opp,BTN Opens,760,69.03%,1101
Hero,BB Call SB Raise,19,20.65%,92,Opp,BB Call SB Raise,0,0.00%,0
Hero,BB Call UTG Raise,35,23.18%,151,Opp,BB Call UTG Raise,0,0.00%,0
Hero,BB Call MP Raise,31,20.95%,148,Opp,BB Call MP Raise,0,0.00%,0
Hero,BB Call CO Raise,26,23.64%,110,Opp,BB Call CO Raise,0,0.00%,0
Hero,BB Call BTN Raise,49,29.88%,164,Opp,BB Call BTN Raise,0,0.00%,0
Hero,3B,83,2.43%,3416,Opp,3B,119,24.24%,491
Hero,Got 3B,0,0.00%,491,Opp,Got 3B,83,2.43%,3416
Hero,Fold to 3B,0,0.00%,0,Opp,Fold to 3B,0,0.00%,83
Hero,Call 3B,0,0.00%,0,Opp,Call 3B,0,0.00%,83
Hero,4B,4,0.58%,695,Opp,4B,7,8.43%,83
Hero,Got 4B,0,0.00%,83,Opp,Got 4B,1,0.84%,119
Hero,Fold to 4B,0,0.00%,0,Opp,Fold to 4B,0,0.00%,1
Hero,Call 4B,0,0.00%,0,Opp,Call 4B,0,0.00%,1
Hero,5B,2,2.04%,98,Opp,5B,0,0.00%,4
Hero,Got 5B,0,0.00%,4,Opp,Got 5B,2,28.57%,7
Hero,Fold to 5B,0,0.00%,0,Opp,Fold to 5B,0,0.00%,2
Hero,Call 5B,0,0.00%,0,Opp,Call 5B,0,0.00%,2
