hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,flop_actions,turn_actions,river_actions,result
RC3334603619,6,5.0,9c Ac,7s 3h Tc,8s,3d,Hero: raises $0.05 to $0.1; Opponent: calls $0.05; ,Opponent: checks; Hero: checks; ,Opponent: bets $0.08; Hero: calls $0.08; ,Opponent: bets $0.29; ,Opponent collected $0.37 from pot
RC3334603565,6,5.0,Qh 4c,,,,,,,,Opponent 3
RC3334603458,3,5.0,6s 7s,Qh 9s Kd,,,Opponent: raises $0.05 to $0.1; Opponent: raises $0.21 to $0.31; Opponent: calls $0.21; ,Opponent: checks; Opponent: bets $0.24; ,,,Opponent collected $0.66 from pot
RC3334603430,1,5.0,3s Ts,Ad 3d 8s,3c,,Opponent: raises $0.1 to $0.15; Opponent: calls $0.13; Opponent: calls $0.1; ,Opponent: checks; Opponent: checks; Opponent: checks; ,Opponent: bets $0.15; ,,Opponent collected $0.43 from pot
RC3334603399,2,5.0,9d Qs,,,,Opponent: raises $0.07 to $0.12; ,,,,Opponent 1
RC3334603366,5,5.0,Qs 5c,,,,Opponent: raises $0.05 to $0.1; Opponent: raises $0.28 to $0.38; ,,,,Opponent 1
RC3334603330,6,5.0,3c 2s,,,,Opponent: raises $0.06 to $0.11; Opponent: raises $0.44 to $0.55; ,,,,Opponent 2
RC3334603292,6,5.0,2h 7h,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 5
RC3334603245,5,5.0,2h Ks,,,,,,,,Opponent 3
RC3334603213,5,5.0,2h Ah,3s Jc 7s,,,Opponent: raises $0.08 to $0.13; Opponent: calls $0.08; ,Opponent: checks; Opponent: bets $0.14; Opponent: raises $0.42 to $0.56; ,,,Opponent collected $0.54 from pot
RC3334603179,4,5.0,Td 5d,,,,Opponent: raises $0.12 to $0.17; ,,,,Opponent 1
RC3334603138,5,5.0,4d As,,,,Opponent: raises $0.08 to $0.13; ,,,,Opponent 2
RC3334603034,3,5.0,5s 7h,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 4
RC3334603002,6,5.0,6d 3c,,,,,,,,Opponent 3
RC3334602934,2,5.0,7d 5c,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 4
RC3334602902,1,5.0,Qd 7c,8s 5s 5d,,,Opponent: raises $0.08 to $0.13; Opponent: calls $0.08; ,Opponent: checks; Opponent: bets $0.1; ,,,Opponent collected $0.27 from pot
RC3334602867,1,5.0,4d 6h,,,,Opponent: raises $0.08 to $0.13; ,,,,Opponent 6
RC3334602838,6,5.0,8d Qs,,,,,,,,Opponent 3
RC3334602807,6,5.0,7c 9c,,,,,,,,Opponent 3
RC3334602322,3,5.0,Ac Ts,Jd 2s Ah,8s,,Opponent: raises $0.06 to $0.11; Hero: calls $0.06; ,Hero: checks; Opponent: bets $0.13; Hero: calls $0.13; ,Hero: checks; Opponent: bets $0.38; ,,Opponent collected $0.48 from pot
RC3334602256,2,5.0,7s 3c,7d Js Jd,Qh,Tc,Opponent: raises $0.05 to $0.1; Opponent: calls $0.05; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: bets $0.08; Opponent: calls $0.08; Opponent: shows [7h Qc] (Pair of Queens and Pair of Jacks); Opponent: shows [8s Th] (Pair of Jacks and Pair of Tens); ,Opponent collected $0.37 from pot
RC3334602205,5,5.0,Qc 2d,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 4
RC3334602022,3,5.07,9c Kc,Jd 5d 2h,,,Opponent: raises $0.05 to $0.1; Hero: calls $0.05; ,Hero: checks; Opponent: bets $0.11; ,,,Opponent collected $0.21 from pot
RC3334601994,6,5.07,3d 2c,7h 9s 9c,Ah,Td,Opponent: raises $0.08 to $0.13; Opponent: calls $0.08; ,Opponent: bets $0.28; Opponent: raises $0.28 to $0.56; Opponent: calls $0.2 and is all-in; Opponent: shows [7d Ac] (Pair of Nines and Pair of Sevens); Opponent: shows [9h Th] (Three Nines); ,,,Opponent collected $1.18 from pot
RC3334601964,3,5.12,5s 7h,5h Jc 8c,6s,,Opponent: raises $0.08 to $0.13; Opponent: calls $0.11; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: bets $0.15; ,,Opponent collected $0.3 from pot
RC3334601905,1,5.12,Kc Tc,,,,Opponent: raises $0.07 to $0.12; ,,,,Opponent 5
