hand_id,date_and_time,table_name,hero_position,hero_position_type,hero_open_position,hero_3b_position,pot_type,hero_squeeze,final_pot_type,table_size,stakes,Total_Pot,Preflop_Pot,Flop_Pot,Turn_Pot,River_Pot,Cash_Drop,rake,hero_cards,board_cards,player_cards,hero_action,preflop_actions,flop_actions,turn_actions,river_actions,preflop_description,hand_result,hand_won,hand_profit,hero_stack
Poker Hand #RC3334603619: Hold'em No Limit ($0.02/$0.05) - 2025/02/17 21:51:23,,,CO,IP,,,SRP,NO,1v1,6,$0.02/$0.05,13.4BB,4.4BB,4.4BB,7.6BB,13.4BB,,0.0,,7s 3h Tc Tc 8s,,OPEN,529120ac: folds; a9bca211: folds; Hero: raises 2.0BB; ec2814be: folds; 687fd17d: folds; c565c977: calls 1.0BB,c565c977: checks; Hero: checks,c565c977: bets 1.6BB; Hero: calls 1.6BB,c565c977: bets 5.8BB; Hero: folds,,-3.6BB,False,-3.6,100.0
Poker Hand #RC3334603565: Hold'em No Limit ($0.02/$0.05) - 2025/02/17 21:51:16,,,CO,NA,,,,NO,,6,$0.02/$0.05,1.4BB,1.4BB,0BB,0BB,0BB,,0.0,,,,FOLD,82c6ccfb: folds; c3c40ffa: folds; Hero: folds; 8d0bc73f: folds; d7a16be3: folds,,,,,0BB,False,0,100.0
Poker Hand #RC3334603458: Hold'em No Limit ($0.02/$0.05) - 2025/02/17 21:51:03,,,BB,NA,,,3B,NO,1v1,6,$0.02/$0.05,18.6BB,13.8BB,18.6BB,0BB,0BB,,0.0,,Qh 9s Kd,,FOLD_3B,1dd0b66b: raises 2.0BB; 692417ff: folds; b02447b8: folds; ba72b338: raises 6.2BB; a91946aa: folds; Hero: folds; 1dd0b66b: calls 4.2BB,1dd0b66b: checks; ba72b338: bets 4.8BB; 1dd0b66b: folds,,,,-1.0BB,False,-1.0,100.0
Poker Hand #RC3334603430: Hold'em No Limit ($0.02/$0.05) - 2025/02/17 21:51:00,,,BTN,NA,,,,NO,,6,$0.02/$0.05,12.0BB,9.0BB,9.0BB,12.0BB,0BB,,0.0,,Ad 3d 8s 8s,,FOLD_R,a91946aa: folds; 811c7448: folds; a0ed5617: raises 3.0BB; Hero: folds; b9039b9: calls 2.6BB; 719071b8: calls 2.0BB,b9039b9: checks; 719071b8: checks; a0ed5617: checks,b9039b9: bets 3.0BB; 719071b8: folds; a0ed5617: folds,,,0BB,False,0,100.0
Poker Hand #RC3334603399: Hold'em No Limit ($0.02/$0.05) - 2025/02/17 21:50:57,,,SB,NA,,,SRP,NO,fold,6,$0.02/$0.05,3.8BB,3.8BB,0BB,0BB,0BB,,0.0,,,,FOLD_R,3455b228: folds; edbb0bb6: folds; b66c51bb: folds; 9e226e3b: raises 2.4BB; Hero: folds; 7b1424ef: folds,,,,,-0.4BB,False,-0.4,100.0
Poker Hand #RC3334603366: Hold'em No Limit ($0.02/$0.05) - 2025/02/17 21:50:53,,,MP,NA,,,,NO,,6,$0.02/$0.05,11.0BB,11.0BB,0BB,0BB,0BB,,0.0,,,,FOLD,3455b228: folds; Hero: folds; b9f66756: raises 2.0BB; af130c3f: raises 7.6BB; 8ea92302: folds; 50d79ef5: folds; b9f66756: folds,,,,,0BB,False,0,100.0
Poker Hand #RC3334603330: Hold'em No Limit ($0.02/$0.05) - 2025/02/17 21:50:50,,,CO,NA,,,,NO,,6,$0.02/$0.05,14.6BB,14.6BB,0BB,0BB,0BB,,0.0,,,,FOLD_R,a223d3ca: folds; 53a8c2fd: raises 2.2BB; Hero: folds; 6ab3ea38: folds; 1f78e1eb: raises 11.0BB; 9babc997: folds; 53a8c2fd: folds,,,,,0BB,False,0,100.0
Poker Hand #RC3334603292: Hold'em No Limit ($0.02/$0.05) - 2025/02/17 21:50:46,,,CO,NA,,,,NO,,6,$0.02/$0.05,4.4BB,4.4BB,0BB,0BB,0BB,,0.0,,,,FOLD_R,7eb5dbb3: folds; 75a97e80: raises 3.0BB; Hero: folds; d916afa1: folds; 70a68a0b: folds; 951a45c3: folds,,,,,0BB,False,0,100.0
Poker Hand #RC3334603245: Hold'em No Limit ($0.02/$0.05) - 2025/02/17 21:50:41,,,MP,NA,,,,NO,,6,$0.02/$0.05,1.4BB,1.4BB,0BB,0BB,0BB,,0.0,,,,FOLD,4ce7d5f4: folds; Hero: folds; 99df5763: folds; b4cd57cf: folds; 4e3c3196: folds,,,,,0BB,False,0,100.0
Poker Hand #RC3334603213: Hold'em No Limit ($0.02/$0.05) - 2025/02/17 21:50:38,,,MP,NA,,,,NO,,6,$0.02/$0.05,19.6BB,5.6BB,19.6BB,0BB,0BB,,0.0,,3s Jc 7s,,FOLD,97d67e86: folds; Hero: folds; 32f34df2: folds; 5c08f408: raises 2.6BB; 7c8b3964: folds; 256d985c: calls 1.6BB,256d985c: checks; 5c08f408: bets 2.8BB; 256d985c: raises 11.2BB; 5c08f408: folds,,,,0BB,False,0,100.0
Poker Hand #RC3334603179: Hold'em No Limit ($0.02/$0.05) - 2025/02/17 21:50:35,,,UTG,NA,,,,NO,,6,$0.02/$0.05,4.8BB,4.8BB,0BB,0BB,0BB,,0.0,,,,FOLD,Hero: folds; 443f46a7: folds; da5282f0: folds; d037279c: raises 3.4BB; 14d03752: folds; bd5d2bb7: folds,,,,,0BB,False,0,100.0
Poker Hand #RC3334603138: Hold'em No Limit ($0.02/$0.05) - 2025/02/17 21:50:30,,,MP,NA,,,,NO,,6,$0.02/$0.05,4.0BB,4.0BB,0BB,0BB,0BB,,0.0,,,,FOLD,545ae247: folds; Hero: folds; 7d310fdd: folds; 3ecb9f22: folds; 92fa3d91: raises 2.6BB; c9e4cf57: folds,,,,,0BB,False,0,100.0
Poker Hand #RC3334603034: Hold'em No Limit ($0.02/$0.05) - 2025/02/17 21:50:20,,,BB,NA,,,SRP,NO,fold,6,$0.02/$0.05,3.4BB,3.4BB,0BB,0BB,0BB,,0.0,,,,FOLD_R,b9f66756: raises 2.0BB; 40df0724: folds; 22a3f0e8: folds; 18491af: folds; f737c730: folds; Hero: folds,,,,,-1.0BB,False,-1.0,100.0
Poker Hand #RC3334603002: Hold'em No Limit ($0.02/$0.05) - 2025/02/17 21:50:16,,,CO,NA,,,,NO,,6,$0.02/$0.05,1.4BB,1.4BB,0BB,0BB,0BB,,0.0,,,,FOLD,8c8bf19e: folds; 3e6e7b99: folds; Hero: folds; f737c730: folds; a041e358: folds,,,,,0BB,False,0,100.0
Poker Hand #RC3334602934: Hold'em No Limit ($0.02/$0.05) - 2025/02/17 21:50:10,,,SB,NA,,,SRP,NO,fold,6,$0.02/$0.05,4.4BB,4.4BB,0BB,0BB,0BB,,0.0,,,,FOLD_R,dd9aa252: raises 3.0BB; d47282a4: folds; 3ffd6491: folds; 9babc997: folds; Hero: folds; df9e409d: folds,,,,,-0.4BB,False,-0.4,100.0
Poker Hand #RC3334602902: Hold'em No Limit ($0.02/$0.05) - 2025/02/17 21:50:06,,,BTN,NA,,,,NO,,6,$0.02/$0.05,7.6BB,5.6BB,7.6BB,0BB,0BB,,0.0,,8s 5s 5d,,FOLD_R,d47282a4: folds; 3ffd6491: folds; fcfd355a: raises 2.6BB; Hero: folds; 7725a7cb: folds; 319021b1: calls 1.6BB,319021b1: checks; fcfd355a: bets 2.0BB; 319021b1: folds,,,,0BB,False,0,100.0
