hand_id,hero_position,hero_position_type,hero_open_position,hero_3b_position,pot_type,hero_squeeze,final_pot_type,hero_stack,hero_cards,SB_BB,flop_cards,turn_card,river_card,preflop_actions,preflop_action_1st_bet,preflop_action_3B,preflop_action_4B,preflop_action_5B,preflop_action_limp,preflop_action_limp_fold,preflop_action_limp_call,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot,cash_drop,IP_Cbet_Flop,OOP_Cbet_Flop,IP_Cbet_Response,OOP_Cbet_Response,OOP_Donk_Flop,Miss_Cbet_OOP,Miss_Cbet_OOP_Response,Miss_Cbet_IP,Miss_Cbet_IP_Response
RC3334603619,Hero(CO),IP,CO,,SRP,NO,1v1,100BB,9c Ac,$0.02/$0.05,7s 3h Tc,8s,3d,Opp(UTG): folds; Opp(MP): folds; Hero(CO): raises 2.0BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): calls 1.0BB,Hero(CO): raises 2.0BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): calls 1.0BB,,,,,,,4.4BB,Opp(BB): checks; Hero(CO): checks; ,4.4BB,Opp(BB): bets 1.6BB; Hero(CO): calls 1.6BB; ,7.6BB,Opp(BB): bets 5.8BB; Hero(CO): folds; ,7.6BB,-3.6BB,7.6BB,,NO,NO,,,NO,YES,IP check,YES,
RC3334603565,Hero(CO),NA,,,limped,NO,fold,100BB,Qh 4c,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB,,,,,,NO,,,,
RC3334603458,Hero(BB),NA,,,3B,NO,1v1,100BB,6s 7s,$0.02/$0.05,Qh 9s Kd,,,Opp(UTG): raises 2.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 6.2BB; Opp(SB): folds; Hero(BB): folds; Opp(UTG): calls 4.2BB,Opp(UTG): raises 2.0BB; Opp(MP): folds; Opp(CO): folds,Opp(BTN): raises 6.2BB; Opp(SB): folds; Hero(BB): folds; Opp(UTG): calls 4.2BB,,,,,,13.8BB,Opp(UTG): checks; Opp(BTN): bets 4.8BB; Opp(UTG): folds; ,13.8BB,,0BB,,0BB,-1.0BB,13.8BB,,YES,NO,OOP fold,,NO,YES,,,
RC3334603430,Hero(BTN),NA,,,SRP,NO,multi,100BB,3s Ts,$0.02/$0.05,Ad 3d 8s,3c,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): raises 3.0BB; Hero(BTN): folds; Opp(SB): calls 2.6BB; Opp(BB): calls 2.0BB,Opp(CO): raises 3.0BB; Hero(BTN): folds; Opp(SB): calls 2.6BB; Opp(BB): calls 2.0BB,,,,,,,9.0BB,Opp(SB): checks; Opp(BB): checks; Opp(CO): checks; ,9.0BB,Opp(SB): bets 3.0BB; Opp(BB): folds; Opp(CO): folds; ,9.0BB,,0BB,0BB,9.0BB,,NO,NO,,,NO,YES,IP check,YES,
RC3334603399,Hero(SB),NA,,,SRP,NO,fold,100BB,9d Qs,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.4BB; Hero(SB): folds; Opp(BB): folds,Opp(BTN): raises 2.4BB; Hero(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB,,,,,,NO,,,,
RC3334603366,Hero(MP),NA,,,3B,NO,fold,100BB,Qs 5c,$0.02/$0.05,,,,Opp(UTG): folds; Hero(MP): folds; Opp(CO): raises 2.0BB; Opp(BTN): raises 7.6BB; Opp(SB): folds; Opp(BB): folds; Opp(CO): folds,Opp(CO): raises 2.0BB,Opp(BTN): raises 7.6BB; Opp(SB): folds; Opp(BB): folds; Opp(CO): folds,,,,,,5.4BB,,0BB,,0BB,,0BB,0BB,5.4BB,,,,,,NO,,,,
RC3334603330,Hero(CO),NA,,,3B,NO,fold,100BB,3c 2s,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): raises 2.2BB; Hero(CO): folds; Opp(BTN): folds; Opp(SB): raises 11.0BB; Opp(BB): folds; Opp(MP): folds,Opp(MP): raises 2.2BB; Hero(CO): folds; Opp(BTN): folds,Opp(SB): raises 11.0BB; Opp(BB): folds; Opp(MP): folds,,,,,,5.8BB,,0BB,,0BB,,0BB,0BB,5.4BB,,,,,,NO,,,,
RC3334603292,Hero(CO),NA,,,SRP,NO,fold,100BB,2h 7h,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): raises 3.0BB; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(MP): raises 3.0BB; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334603245,Hero(MP),NA,,,limped,NO,fold,100BB,2h Ks,$0.02/$0.05,,,,Opp(UTG): folds; Hero(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB,,,,,,NO,,,,
RC3334603213,Hero(MP),NA,,,SRP,NO,1v1,100BB,2h Ah,$0.02/$0.05,3s Jc 7s,,,Opp(UTG): folds; Hero(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.6BB; Opp(SB): folds; Opp(BB): calls 1.6BB,Opp(BTN): raises 2.6BB; Opp(SB): folds; Opp(BB): calls 1.6BB,,,,,,,5.6BB,Opp(BB): checks; Opp(BTN): bets 2.8BB; Opp(BB): raises 11.2BB; Opp(BTN): folds; ,11.2BB,,0BB,,0BB,0BB,11.2BB,,YES,NO,OOP XR,,NO,YES,,,
