Hand_ID,Stakes,Cash_Drop,Hero_Position,Hero_Stack,Hero_Cards,Flop_Cards,Turn_Card,River_Card,Preflop_Actions,Preflop_1st_Bet,Preflop_3B,Preflop_4B,Preflop_5B,Preflop_Limp,Preflop_Limp_Fold,Preflop_Limp_Call,Preflop_Pot,Hero_Position_Type,Hero_Open_Position,Hero_3B_Chance,Pot_Type,Hero_Squeeze,Final_Pot_Type,UTG_open,MP_open,CO_open,BTN_open,SB_open,BB_call_open,UTG_3B,MP_3B,CO_3B,BTN_3B,SB_3B,BB_3B,UTG_face_to_3B,MP_face_to_3B,CO_face_to_3B,BTN_face_to_3B,SB_face_to_3B,BB_face_to_3B,UTG_4B,MP_4B,CO_4B,BTN_4B,SB_4B,BB_4B,UTG_face_to_4B,MP_face_to_4B,CO_face_to_4B,BTN_face_to_4B,SB_face_to_4B,BB_face_to_4B,Pool_Preflop_Summary,Hero_Preflop_Summary,Flop_Actions,Flop_Pot,IP_Cbet_Flop,OOP_Cbet_Flop,VS_IP_Cbet_Flop,VS_OOP_Cbet_Flop,OOP_Donk_Flop,IP_Face_Donk_Flop,Miss_Cbet_OOP_Flop,OOP_Miss_Cbet_IP_Bet,Miss_Cbet_IP_Flop,IP_Miss_Cbet_OOP_Bet_Turn,OOP_XR_Cbet_Flop,IP_Raises_Cbet_Flop,Turn_Actions,Turn_Pot,River_Actions,River_Pot,Result,Total_Pot,Hero_Win,Hero_Win_Amount,OOP_Player,IP_Player,ip_face_donk
RC3334603619,($0.02/$0.05),NO,CO,100BB,9c Ac,7s 3h Tc,8s,3d,Opp(UTG): folds; Opp(MP): folds; Hero(CO): raises 2.0BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): calls 1.0BB,Hero(CO): raises 2.0BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): calls 1.0BB,,,,,,,4.4BB,OOP,CO,NO,SRP,NO,1v1,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CO_R_BB_C,1st_raises,Opp(BB): checks; Hero(CO): checks; ,4.4BB,hero_no,NA,,,NO,,NO,,YES,yes,NO,NO,Opp(BB): bets 1.6BB; Hero(CO): calls 1.6BB; ,7.6BB,Opp(BB): bets 5.8BB; Hero(CO): folds; ,7.6BB,-3.6BB,7.6BB,NO,0,c565c977,Hero,
RC3334603565,($0.02/$0.05),NO,CO,100BB,Qh 4c,,,,Opp(UTG): folds; Opp(MP): folds; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,NA,fold,NO,No open all folds,NO,fold,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No open all folds,folds,,0BB,,,,,NO,,NO,,NO,,NO,NO,,0BB,,0BB,0BB,0.8BB,NO,0,,,
RC3334603458,($0.02/$0.05),NO,BB,100BB,6s 7s,Qh 9s Kd,,,Opp(UTG): raises 2.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 6.2BB; Opp(SB): folds; Hero(BB): folds; Opp(UTG): calls 4.2BB,Opp(UTG): raises 2.0BB; Opp(MP): folds; Opp(CO): folds,Opp(BTN): raises 6.2BB; Opp(SB): folds; Hero(BB): folds; Opp(UTG): calls 4.2BB,,,,,,13.8BB,NA,NA_hero_BB,Yes-folds,3B,NO,1v1,NO,NO,NO,NO,NO,Hero_NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BTN_3B_UTG_C,folds to open,Opp(UTG): checks; Opp(BTN): bets 4.8BB; Opp(UTG): folds; ,13.8BB,yes,NA,fold,,NO,,NO,,NO,,NO,NO,,0BB,,0BB,-1.0BB,13.8BB,NO,0,1dd0b66b,ba72b338,
RC3334603430,($0.02/$0.05),NO,BTN,100BB,3s Ts,Ad 3d 8s,3c,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): raises 3.0BB; Hero(BTN): folds; Opp(SB): calls 2.6BB; Opp(BB): calls 2.0BB,Opp(CO): raises 3.0BB; Hero(BTN): folds; Opp(SB): calls 2.6BB; Opp(BB): calls 2.0BB,,,,,,,9.0BB,NA,NA,Yes-folds,SRP,NO,multi,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CO_R_SB_C_BB_C,folds to open,Opp(SB): checks; Opp(BB): checks; Opp(CO): checks; ,9.0BB,NA,NA,,,NO,,NO,,NO,,NO,NO,Opp(SB): bets 3.0BB; Opp(BB): folds; Opp(CO): folds; ,9.0BB,,0BB,0BB,9.0BB,NO,0,b9039b9,a0ed5617,
RC3334603399,($0.02/$0.05),NO,SB,100BB,9d Qs,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.4BB; Hero(SB): folds; Opp(BB): folds,Opp(BTN): raises 2.4BB; Hero(SB): folds; Opp(BB): folds,,,,,,,2.4BB,NA,NA,Yes-folds,SRP,NO,fold,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BTN_R_all_fold,folds to open,,0BB,,,,,NO,,NO,,NO,,NO,NO,,0BB,,0BB,-0.4BB,2.4BB,NO,0,,,
RC3334603366,($0.02/$0.05),NO,MP,100BB,Qs 5c,,,,Opp(UTG): folds; Hero(MP): folds; Opp(CO): raises 2.0BB; Opp(BTN): raises 7.6BB; Opp(SB): folds; Opp(BB): folds; Opp(CO): folds,Opp(CO): raises 2.0BB,Opp(BTN): raises 7.6BB; Opp(SB): folds; Opp(BB): folds; Opp(CO): folds,,,,,,5.4BB,NA,fold,NO,3B,NO,fold,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BTN_3B_all_fold,folds,,0BB,,,,,NO,,NO,,NO,,NO,NO,,0BB,,0BB,0BB,5.4BB,NO,0,,,
RC3334603330,($0.02/$0.05),NO,CO,100BB,3c 2s,,,,Opp(UTG): folds; Opp(MP): raises 2.2BB; Hero(CO): folds; Opp(BTN): folds; Opp(SB): raises 11.0BB; Opp(BB): folds; Opp(MP): folds,Opp(MP): raises 2.2BB; Hero(CO): folds; Opp(BTN): folds,Opp(SB): raises 11.0BB; Opp(BB): folds; Opp(MP): folds,,,,,,5.8BB,NA,NA,Yes-folds,3B,NO,fold,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SB_3B_all_fold,folds to open,,0BB,,,,,NO,,NO,,NO,,NO,NO,,0BB,,0BB,0BB,5.4BB,NO,0,,,
RC3334603292,($0.02/$0.05),NO,CO,100BB,2h 7h,,,,Opp(UTG): folds; Opp(MP): raises 3.0BB; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(MP): raises 3.0BB; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,NA,NA,Yes-folds,SRP,NO,fold,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MP_R_all_fold,folds to open,,0BB,,,,,NO,,NO,,NO,,NO,NO,,0BB,,0BB,0BB,2.4BB,NO,0,,,
RC3334603245,($0.02/$0.05),NO,MP,100BB,2h Ks,,,,Opp(UTG): folds; Hero(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,NA,fold,NO,No open all folds,NO,fold,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No open all folds,folds,,0BB,,,,,NO,,NO,,NO,,NO,NO,,0BB,,0BB,0BB,0.8BB,NO,0,,,
RC3334603213,($0.02/$0.05),NO,MP,100BB,2h Ah,3s Jc 7s,,,Opp(UTG): folds; Hero(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.6BB; Opp(SB): folds; Opp(BB): calls 1.6BB,Opp(BTN): raises 2.6BB; Opp(SB): folds; Opp(BB): calls 1.6BB,,,,,,,5.6BB,NA,fold,NO,SRP,NO,1v1,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BTN_R_BB_C,folds,Opp(BB): checks; Opp(BTN): bets 2.8BB; Opp(BB): raises 11.2BB; Opp(BTN): folds; ,11.2BB,yes,NA,raises,,NO,,NO,,NO,,yes,NO,,0BB,,0BB,0BB,11.2BB,NO,0,256d985c,5c08f408,
