hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot
RC3334603619,Hero(CO),100BB,9c Ac,7s 3h Tc,8s,3d,Hero: raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Hero: checks; ,4.4BB,Opp(BB): bets 1.6BB; Hero: calls 1.6BB; ,7.6BB,Opp(BB): bets 5.8BB; ,7.6BB,-3.6BB,7.6BB
RC3334603565,Hero(CO),100BB,Qh 4c,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334603458,Hero(BB),100BB,6s 7s,Qh 9s Kd,,,Opp(UTG): raises 2.0BB; Opp(BTN): raises 6.2BB; Opp(UTG): calls 4.2BB; ,13.8BB,Opp(UTG): checks; Opp(BTN): bets 4.8BB; ,13.8BB,,0BB,,0BB,-1.0BB,13.8BB
RC3334603430,Hero(BTN),100BB,3s Ts,Ad 3d 8s,3c,,Opp(CO): raises 3.0BB; Opp(SB): calls 2.6BB; Opp(BB): calls 2.0BB; ,9.0BB,Opp(SB): checks; Opp(BB): checks; Opp(CO): checks; ,9.0BB,Opp(SB): bets 3.0BB; ,9.0BB,,0BB,0BB,9.0BB
RC3334603399,Hero(SB),100BB,9d Qs,,,,Opp(BTN): raises 2.4BB; ,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB
RC3334603366,Hero(MP),100BB,Qs 5c,,,,Opp(CO): raises 2.0BB; Opp(BTN): raises 7.6BB; ,5.4BB,,0BB,,0BB,,0BB,0BB,5.4BB
RC3334603330,Hero(CO),100BB,3c 2s,,,,Opp(MP): raises 2.2BB; Opp(SB): raises 11.0BB; ,5.8BB,,0BB,,0BB,,0BB,0BB,5.4BB
RC3334603292,Hero(CO),100BB,2h 7h,,,,Opp(MP): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334603245,Hero(MP),100BB,2h Ks,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334603213,Hero(MP),100BB,2h Ah,3s Jc 7s,,,Opp(BTN): raises 2.6BB; Opp(BB): calls 1.6BB; ,5.6BB,Opp(BB): checks; Opp(BTN): bets 2.8BB; Opp(BB): raises 11.2BB; ,11.2BB,,0BB,,0BB,0BB,11.2BB
RC3334603179,Hero(UTG),100BB,Td 5d,,,,Opp(BTN): raises 3.4BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334603138,Hero(MP),100BB,4d As,,,,Opp(SB): raises 2.6BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3334603034,Hero(BB),100BB,5s 7h,,,,Opp(UTG): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB
RC3334603002,Hero(CO),100BB,6d 3c,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334602934,Hero(SB),100BB,7d 5c,,,,Opp(UTG): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB
RC3334602902,Hero(BTN),100BB,Qd 7c,8s 5s 5d,,,Opp(CO): raises 2.6BB; Opp(BB): calls 1.6BB; ,5.6BB,Opp(BB): checks; Opp(CO): bets 2.0BB; ,5.6BB,,0BB,,0BB,0BB,5.6BB
RC3334602867,Hero(BTN),100BB,4d 6h,,,,Opp(CO): raises 2.6BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334602838,Hero(CO),100BB,8d Qs,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334602807,Hero(CO),100BB,7c 9c,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334602322,Hero(BB),100BB,Ac Ts,Jd 2s Ah,8s,,Opp(BTN): raises 2.2BB; Hero: calls 1.2BB; ,4.8BB,Hero: checks; Opp(BTN): bets 2.6BB; Hero: calls 2.6BB; ,10.0BB,Hero: checks; Opp(BTN): bets 7.6BB; ,10.0BB,,0BB,-4.8BB,10.0BB
RC3334602256,Hero(SB),100BB,7s 3c,7d Js Jd,Qh,Tc,Opp(CO): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Opp(CO): checks; ,4.4BB,Opp(BB): checks; Opp(CO): checks; ,4.4BB,Opp(BB): checks; Opp(CO): bets 1.6BB; Opp(BB): calls 1.6BB; 395482a9: shows [7h Qc] (Pair of Queens and Pair of Jacks); 55e0d4fe: shows [8s Th] (Pair of Jacks and Pair of Tens); ,7.6BB,-0.4BB,7.6BB
RC3334602205,Hero(MP),100BB,Qc 2d,,,,Opp(UTG): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
