Player,Total Hands,VPIP Hands,VPIP %,Evaluation,Sample Size Adequate
Overall Pool,30000,6475,21.58%,标准 - 平衡的打法，大多数职业玩家在此范围,Yes
3d746b4b,35,9,25.71%,标准 - 平衡的打法，大多数职业玩家在此范围,Yes
742ccfee,36,9,25.00%,标准 - 平衡的打法，大多数职业玩家在此范围,Yes
d58b99ca,42,9,21.43%,标准 - 平衡的打法，大多数职业玩家在此范围,Yes
8c3789e,30,6,20.00%,标准 - 平衡的打法，大多数职业玩家在此范围,Yes
Hero,5000,900,18.00%,紧凶（偏低）- 保守但有选择性的打法，通常是较好的策略,Yes
3b85f8e6,30,5,16.67%,紧凶（偏低）- 保守但有选择性的打法，通常是较好的策略,Yes
32d40ce0,33,5,15.15%,紧凶（偏低）- 保守但有选择性的打法，通常是较好的策略,Yes
6d5fa70b,34,5,14.71%,紧凶（偏低）- 保守但有选择性的打法，通常是较好的策略,Yes
42fca4f9,32,4,12.50%,紧凶（偏低）- 保守但有选择性的打法，通常是较好的策略,Yes
a28ca95c,36,4,11.11%,紧凶（偏低）- 保守但有选择性的打法，通常是较好的策略,Yes
b9039b9,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
a0ed5617,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
1f78e1eb,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
88aa3863,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
b56b513d,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
a16d60b6,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
2596103a,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
7b0814a4,5,5,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
6e5afa4f,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
aabba297,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
4614c5cf,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
c18cd900,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
39bc2366,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
95e89c51,6,6,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
c4dfffce,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
5858308f,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
82282522,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
4cfbe5bf,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
5e527a1a,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
bea1a357,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
5a1e8ed6,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
81060c15,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
e10f146c,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
4b9621a6,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
1c6a80d2,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
d57160ed,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
15fcb4bc,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
7570303b,3,3,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
76fdb5a1,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
51e16546,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
574ecb68,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
5cfc658c,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
1dc39fc2,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
2486dbda,4,4,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
7aa85a40,4,4,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
8b64902e,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
17ae1a1b,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
f4d91738,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
119f21d7,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
5053734a,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
ed1479f,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
f475a277,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
94501470,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
83399f83,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
9ad857e5,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
9b077cd8,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
b6083d7e,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
dfdc1c0b,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
5cef4c25,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
33387631,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
db7750ea,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
b323473e,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
3c8d217b,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
5115f4c2,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
fbe8adcd,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
67ca8637,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
61652819,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
877b03ec,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
b262f9e1,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
eb63e0f4,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
a2b7d805,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
46f37de2,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
ee30c63a,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
c2790014,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
7d495353,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
db858978,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
3ffb2c87,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
5db2c2b1,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
4ab3f3bc,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
9b331463,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
9143d0b0,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
3723bfd4,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
a92346b2,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
8cd59d43,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
8b7f9932,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
9cbf2041,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
b3de874e,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
db6d28b7,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
a482bd3,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
2a393f2d,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
9938ef4e,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
